year,opponent,venue,result,UM_score,opp_score,date,time
2024,Fresno State,Home,W,30,10,Aug 31 (Sat),7:30 PM
2024,#3 Texas,Home,L,12,31,Sep 7 (Sat),Noon
2024,Arkansas State,Home,W,28,18,Sep 14 (Sat),Noon
2024,#11 USC,Home,W,27,24,Sep 21 (Sat),3:30 PM
2024,Minnesota,Home,W,27,24,Sep 28 (Sat),Noon
2024,Washington,Away,L,17,27,Oct 5 (Sat),4:30 PM PT
2024,#22 Illinois,Away,L,7,21,Oct 19 (Sat),2:30 PM CT
2024,Michigan State,Home,W,24,17,Oct 26 (Sat),7:30 PM
2024,#1 Oregon,Home,L,17,38,Nov 2 (Sat),3:30 PM
2024,#8 Indiana,Away,L,15,20,Nov 9 (Sat),3:30 PM
2024,Northwestern,Home,W,50,6,Nov 23 (Sat),3:30 PM
2024,#2 Ohio State,Away,W,13,10,Nov 30 (Sat),Noon
2024,#11 Alabama,,W,19,13,Dec 31 (Tue),Noon
2023,East Carolina,Home,W,30,3,Sep 2 (Sat),Noon
2023,UNLV,Home,W,35,7,Sep 9 (Sat),3:30 PM
2023,Bowling Green,Home,W,31,6,Sep 16 (Sat),7:30 PM
2023,Rutgers,Home,W,31,7,Sep 23 (Sat),12:00 PM
2023,Nebraska,Away,W,45,7,Sep 30 (Sat),2:30 PM CT
2023,Minnesota,Away,W,52,10,Oct 7 (Sat),6:30 PM CT
2023,Indiana,Home,W,52,7,Oct 14 (Sat),Noon
2023,Michigan State,Away,W,49,0,Oct 21 (Sat),7:30 PM
2023,Purdue,Home,W,41,13,Nov 4 (Sat),7:30 PM
2023,#9 Penn State,Away,W,24,15,Nov 11 (Sat),Noon
2023,Maryland,Away,W,31,24,Nov 18 (Sat),Noon
2023,#2 Ohio State,Home,W,30,24,Nov 25 (Sat),Noon
2023,#18 Iowa,,W,26,0,Dec 2 (Sat),8:00 PM
2023,#4 Alabama,,W,27,20,Jan 1 (Mon),2:10 PM PST
2023,#2 Washington,,W,34,13,Jan 8 (Mon),6:30 PM CT
2023,Maize vs. Blue Spring Game,Home,,,,Apr 20 (Sat),Noon
2022,Colorado State,Home,W,51,7,Sep 3 (Sat),Noon
2022,Hawai'i,Home,W,56,10,Sep 10 (Sat),8:00 PM
2022,UConn,Home,W,59,0,Sep 17 (Sat),Noon
2022,Maryland,Home,W,34,27,Sep 24 (Sat),Noon
2022,Iowa,Away,W,27,14,Oct 1 (Sat),11:00 AM CT
2022,Indiana,Away,W,31,10,Oct 8 (Sat),Noon
2022,#10 Penn State,Home,W,41,17,Oct 15 (Sat),Noon
2022,Michigan State,Home,W,29,7,Oct 29 (Sat),7:30 PM
2022,Rutgers,Away,W,52,17,Nov 5 (Sat),7:30 PM
2022,Nebraska,Home,W,34,3,Nov 12 (Sat),3:30 PM
2022,Illinois,Home,W,19,17,Nov 19 (Sat),Noon
2022,#2 Ohio State,Away,W,45,23,Nov 26 (Sat),Noon
2022,Purdue,,W,43,22,Dec 3 (Sat),8:00 PM
2022,#3 TCU,,L,45,51,Dec 31 (Sat),2:00 PM MT
2022,Maize and Blue Spring Game,Home,,,,Apr 1 (Sat),3:00 PM
2021,Western Michigan,Home,W,47,14,Sep 4 (Sat),Noon
2021,Washington,Home,W,31,10,Sep 11 (Sat),8:00 PM
2021,Northern Illinois,Home,W,63,10,Sep 18 (Sat),Noon
2021,Rutgers,Home,W,20,13,Sep 25 (Sat),3:30 PM
2021,Wisconsin,Away,W,38,17,Oct 2 (Sat),11:00 AM CT
2021,Nebraska,Away,W,32,29,Oct 9 (Sat),6:30 PM CT
2021,Northwestern,Home,W,33,7,Oct 23 (Sat),Noon
2021,#8 Michigan State,Away,L,33,37,Oct 30 (Sat),Noon
2021,Indiana,Home,W,29,7,Nov 6 (Sat),7:30 PM
2021,#23 Penn State,Away,W,21,17,Nov 13 (Sat),Noon
2021,Maryland,Away,W,59,18,Nov 20 (Sat),3:30 PM
2021,#2 Ohio State,Home,W,42,27,Nov 27 (Sat),Noon
2021,#15 Iowa,,W,42,3,Dec 4 (Sat),8:00 PM
2021,#3 Georgia,,L,11,34,Dec 31 (Fri),7:30 PM
2021,Maize and Blue Spring Game,,,,,Apr 2 (Sat),Noon
2020,#21 Minnesota,Away,W,49,24,Oct 24 (Sat),6:30 PM CT
2020,Michigan State,Home,L,24,27,Oct 31 (Sat),Noon
2020,#13 Indiana,Away,L,21,38,Nov 7 (Sat),Noon
2020,#13 Wisconsin,Home,L,11,49,Nov 14 (Sat),7:30 PM
2020,Rutgers,Away,W,48,42,Nov 21 (Sat),7:30 PM
2020,Penn State,Home,L,17,27,Nov 28 (Sat),Noon
2020,Maryland,Home,,,,Dec 5 (Sat),3:30 PM
2020,#3 Ohio State,Away,,,,Dec 12 (Sat),Noon
2020,#18 Iowa,Away,,,,Dec 19 (Sat),6:00 PM CT
2019,Middle Tennessee State,Home,W,40,21,Aug 31 (Sat),7:30 PM
2019,Army,Home,W,24,21,Sep 7 (Sat),Noon
2019,#13 Wisconsin,Away,L,14,35,Sep 21 (Sat),11:00 AM CT
2019,Rutgers,Home,W,52,0,Sep 28 (Sat),Noon
2019,#14 Iowa - Homecoming,Home,W,10,3,Oct 5 (Sat),Noon
2019,Illinois,Away,W,42,25,Oct 12 (Sat),11:00 AM CT
2019,#7 Penn State,Away,L,21,28,Oct 19 (Sat),7:30 PM
2019,#8 Notre Dame,Home,W,45,14,Oct 26 (Sat),7:30 PM
2019,Maryland,Away,W,38,7,Nov 2 (Sat),Noon
2019,Michigan State,Home,W,44,10,Nov 16 (Sat),Noon
2019,Indiana,Away,W,39,14,Nov 23 (Sat),3:30 PM
2019,#2 Ohio State,Home,L,27,56,Nov 30 (Sat),Noon
2019,#9 Alabama,,L,16,35,Jan 1 (Wed),1:00 PM
2019,Open Practice,,,,,Apr 18 (Sat),Noon
2018,#12 Notre Dame,Away,L,17,24,Sep 1 (Sat),7:30 PM
2018,Western Michigan,Home,W,49,3,Sep 8 (Sat),Noon
2018,SMU,Home,W,45,20,Sep 15 (Sat),3:30 PM
2018,Nebraska,Home,W,56,10,Sep 22 (Sat),Noon
2018,Northwestern,Away,W,20,17,Sep 29 (Sat),3:30 PM CT
2018,Maryland,Home,W,42,21,Oct 6 (Sat),Noon
2018,#15 Wisconsin,Home,W,38,13,Oct 13 (Sat),7:30 PM
2018,#24 Michigan State,Away,W,21,7,Oct 20 (Sat),Noon
2018,#14 Penn State,Home,W,42,7,Nov 3 (Sat),3:45 PM
2018,Rutgers,Away,W,42,7,Nov 10 (Sat),3:30 PM
2018,Indiana,Home,W,31,20,Nov 17 (Sat),4:00 PM
2018,#10 Ohio State,Away,L,39,62,Nov 24 (Sat),Noon
2018,#10 Florida,,L,15,41,Dec 29 (Sat),Noon
2018,Spring Game,Home,,,,Apr 13 (Sat),5:00 PM
2017,#17 Florida,,W,33,17,Sep 2 (Sat),2:30 PM CT
2017,Cincinnati,Home,W,36,14,Sep 9 (Sat),Noon
2017,Air Force,Home,W,29,13,Sep 16 (Sat),Noon
2017,Purdue,Away,W,28,10,Sep 23 (Sat),4:00 PM
2017,Michigan State,Home,L,10,14,Oct 7 (Sat),7:30 PM
2017,Indiana,Away,W,27,20,Oct 14 (Sat),Noon
2017,#2 Penn State,Away,L,13,42,Oct 21 (Sat),7:30 PM
2017,Rutgers,Home,W,35,14,Oct 28 (Sat),Noon
2017,Minnesota,Home,W,33,10,Nov 4 (Sat),7:30 PM
2017,Maryland,Away,W,35,10,Nov 11 (Sat),3:30 PM
2017,#5 Wisconsin,Away,L,10,24,Nov 18 (Sat),11:00 AM CT
2017,#8  Ohio State,Home,L,20,31,Nov 25 (Sat),Noon
2017,South Carolina,,L,19,26,Jan 1 (Mon),Noon
2017,Spring Game,Home,,,,Apr 14 (Sat),5:45 PM
2016,Hawaii,Home,W,63,3,Sep 3 (Sat),Noon
2016,Central Florida,Home,W,51,14,Sep 10 (Sat),Noon
2016,Colorado,Home,W,45,28,Sep 17 (Sat),3:30 PM
2016,Penn State,Home,W,49,10,Sep 24 (Sat),3:30 PM
2016,#8 Wisconsin,Home,W,14,7,Oct 1 (Sat),3:30 PM
2016,Rutgers,Away,W,78,0,Oct 8 (Sat),7:00 PM
2016,Illinois,Home,W,41,8,Oct 22 (Sat),3:30 PM
2016,Michigan State,Away,W,32,23,Oct 29 (Sat),Noon
2016,Maryland,Home,W,59,3,Nov 5 (Sat),3:30 PM
2016,Iowa,Away,L,13,14,Nov 12 (Sat),7:00 PM CT
