School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Points For,Points Against,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Qualified
Abilene Christian,32,16,16,0.5,-5.47,-2.02,8,8,10,5,5,10,2260,2250,1290,819,1845,0.444,146,483,0.302,476,666,0.715,355,1081,421,331,94,476,670,False
Air Force,32,4,28,0.125,-7.75,3.96,1,19,3,13,0,14,1982,2357,1290,680,1616,0.421,259,783,0.331,363,572,0.635,236,956,428,181,91,433,571,False
Akron,34,28,6,0.824,3.54,-4.52,17,1,16,0,8,4,2876,2534,1365,1039,2197,0.473,369,1013,0.364,429,570,0.753,410,1325,615,262,127,407,609,True
Alabama,33,25,8,0.758,25.96,16.26,13,5,12,3,9,3,3007,2687,1330,1026,2126,0.483,344,983,0.35,611,853,0.716,426,1422,555,200,147,422,628,True
Alabama A&M,32,10,22,0.313,-20.36,-9.77,6,12,8,9,2,12,2337,2521,1300,795,1966,0.404,257,807,0.318,490,738,0.664,447,1172,432,266,131,513,687,False
Alabama State,34,19,15,0.559,-9.23,-8.93,12,6,8,3,6,10,2497,2456,1365,874,2158,0.405,305,924,0.33,444,642,0.692,397,1232,400,266,97,311,620,True
Albany (NY),33,17,16,0.515,-9.45,-8.26,8,8,7,7,8,8,2463,2437,1335,901,2044,0.441,238,736,0.323,423,591,0.716,392,1117,414,273,77,357,575,False
Alcorn State,32,11,21,0.344,-13.79,-6.69,11,7,6,3,5,17,2081,2307,1285,754,1833,0.411,171,538,0.318,402,561,0.717,377,1087,329,211,86,418,544,False
American,34,22,12,0.647,-7.01,-6.54,13,5,14,2,5,10,2334,2287,1380,813,1836,0.443,286,824,0.347,422,558,0.756,262,1031,426,225,63,376,607,True
Appalachian State,31,17,14,0.548,-2.47,-3.72,10,8,10,4,5,8,2102,1970,1245,738,1692,0.436,240,697,0.344,386,593,0.651,304,1145,389,171,114,335,414,False
Arizona,34,22,12,0.647,23.12,13.82,14,6,13,3,6,5,2779,2463,1370,977,2067,0.473,232,716,0.324,593,756,0.784,416,1346,554,262,146,390,566,True
Arizona State,32,13,19,0.406,11.19,13.72,4,16,5,9,3,8,2366,2447,1295,804,1836,0.438,281,786,0.358,477,659,0.724,282,1093,412,172,142,395,543,False
Arkansas,33,20,13,0.606,16.64,11.18,8,10,14,4,4,6,2528,2348,1325,896,1922,0.466,235,706,0.333,501,683,0.734,304,1165,477,251,186,385,532,True
Arkansas State,34,24,10,0.706,5.22,-2.78,13,5,13,2,8,5,2692,2385,1370,922,2174,0.424,315,982,0.321,533,730,0.73,457,1390,478,249,156,363,627,False
Arkansas-Pine Bluff,31,6,25,0.194,-24.12,-8.22,3,15,4,8,2,17,2242,2602,1240,834,1838,0.454,225,696,0.323,349,589,0.593,306,1053,452,220,66,449,588,False
Army,31,16,15,0.516,-12.47,-7.26,10,8,12,4,4,11,2268,2327,1270,842,1911,0.441,253,805,0.314,331,483,0.685,312,1082,438,207,68,319,482,False
Auburn,33,28,5,0.848,29.57,15.33,15,3,13,2,8,2,2767,2297,1325,980,2031,0.483,303,824,0.368,504,681,0.74,385,1223,544,230,204,305,614,True
Austin Peay,33,14,19,0.424,-9.15,-3.44,8,10,8,5,4,13,2362,2472,1335,836,1980,0.422,280,810,0.346,410,570,0.719,326,1085,416,229,87,327,589,False
Ball State,31,14,17,0.452,-7.76,-6.3,7,11,8,7,4,9,2336,2300,1250,781,1718,0.455,221,641,0.345,553,785,0.704,292,1101,407,154,67,363,507,False
Baylor,33,19,14,0.576,19.42,13.57,10,10,13,3,3,9,2523,2282,1345,894,1995,0.448,280,797,0.351,455,611,0.745,420,1187,482,252,95,363,538,True
Bellarmine,31,5,26,0.161,-14.75,-4.37,2,16,5,10,0,16,2252,2484,1250,814,1743,0.467,281,776,0.362,343,444,0.773,205,909,439,197,53,371,522,False
Belmont,33,22,11,0.667,2.04,-0.02,13,7,11,5,9,4,2618,2529,1325,945,2033,0.465,347,905,0.383,381,530,0.719,317,1142,568,229,104,371,514,False
Bethune-Cookman,33,17,16,0.515,-10.01,-6.5,13,5,8,2,7,12,2265,2381,1320,800,1870,0.428,202,634,0.319,463,671,0.69,334,1175,423,220,121,448,531,False
Binghamton,32,15,17,0.469,-13.23,-8.85,7,9,9,4,5,12,2233,2287,1295,800,1735,0.461,227,633,0.359,404,583,0.693,284,1149,415,153,96,431,525,False
Boise State,34,24,10,0.706,13.88,5.85,14,6,13,2,6,5,2546,2246,1365,862,1878,0.459,248,799,0.31,572,736,0.777,361,1235,487,182,90,379,546,False
Boston College,31,12,19,0.387,0.1,5.49,4,16,9,8,0,10,2182,2349,1275,783,1811,0.432,206,597,0.345,410,570,0.719,318,1065,355,162,121,368,571,False
Boston University,32,16,16,0.5,-10.77,-8.15,10,8,12,4,3,12,2148,2191,1300,768,1752,0.438,250,740,0.338,362,546,0.663,349,1124,381,194,83,423,515,False
Bowling Green State,32,14,18,0.438,-9.38,-5.95,8,10,8,8,5,8,2352,2366,1280,815,1857,0.439,255,745,0.342,467,626,0.746,297,1100,359,232,102,392,556,False
Bradley,34,26,8,0.765,6.24,-0.04,15,5,13,3,8,3,2612,2339,1380,918,1897,0.484,326,813,0.401,450,596,0.755,283,1171,493,226,128,392,569,False
Brigham Young,33,24,9,0.727,19.8,9.71,14,6,15,2,6,5,2672,2339,1345,950,1970,0.482,353,952,0.371,419,594,0.705,366,1237,569,236,104,400,532,True
Brown,27,14,13,0.519,-4.92,-4.0,6,8,8,6,6,7,1950,1933,1095,723,1613,0.448,221,659,0.335,283,448,0.632,296,979,398,160,142,314,424,False
Bryant,34,23,11,0.676,-1.68,-7.55,14,2,12,3,10,7,2800,2511,1365,1028,2234,0.46,266,790,0.337,478,667,0.717,456,1410,509,228,205,408,532,True
Bucknell,33,18,15,0.545,-5.08,-5.95,13,5,12,4,6,10,2443,2414,1380,862,1850,0.466,268,759,0.353,451,679,0.664,281,1117,448,219,106,433,587,False
Buffalo,31,9,22,0.29,-14.94,-3.7,4,14,6,9,3,13,2226,2508,1240,776,1821,0.426,243,800,0.304,431,616,0.7,286,1069,419,209,109,451,517,False
Butler,33,14,19,0.424,10.32,10.29,6,14,9,8,2,9,2437,2436,1325,830,1822,0.456,273,745,0.366,504,679,0.742,283,1155,461,134,93,365,444,False
Cal Poly,35,16,19,0.457,-1.95,-0.15,8,12,9,5,5,13,2873,2901,1420,1011,2187,0.462,403,1114,0.362,448,585,0.766,352,1221,535,275,75,550,630,False
Cal State Bakersfield,33,14,19,0.424,-5.42,-1.74,8,12,9,6,4,11,2434,2430,1330,851,1944,0.438,218,573,0.38,514,666,0.772,424,1173,334,225,92,416,671,False
Cal State Fullerton,32,6,26,0.188,-15.46,0.87,1,19,4,11,2,15,2024,2475,1280,683,1701,0.402,156,575,0.271,502,677,0.742,303,1064,288,170,62,474,568,False
Cal State Northridge,32,22,10,0.688,2.66,-3.28,14,6,10,3,10,6,2580,2319,1285,924,1974,0.468,215,617,0.348,517,709,0.729,413,1288,530,248,94,441,658,False
California,33,14,19,0.424,5.85,7.06,6,14,11,6,2,11,2494,2534,1360,838,2002,0.419,238,756,0.315,580,778,0.746,443,1238,345,208,122,383,544,False
California Baptist,32,17,15,0.531,-0.72,-1.94,9,7,11,5,4,8,2280,2241,1295,818,1915,0.427,213,671,0.317,431,569,0.757,384,1152,373,212,86,386,551,False
Campbell,32,15,17,0.469,-5.18,-4.74,10,8,8,6,7,10,2246,2169,1285,792,1804,0.439,240,745,0.322,422,547,0.771,264,1016,430,220,98,335,516,False
Canisius,31,3,28,0.097,-19.0,-5.16,3,17,1,12,2,15,2008,2437,1240,729,1673,0.436,254,692,0.367,296,390,0.759,180,802,348,191,75,380,495,False
Central Arkansas,33,9,24,0.273,-14.66,-3.79,4,14,7,7,1,17,2318,2578,1350,817,1995,0.41,283,962,0.294,401,558,0.719,368,1180,453,242,78,408,448,False
Central Connecticut State,32,25,7,0.781,-4.16,-10.9,14,2,13,3,12,3,2312,2012,1285,870,1827,0.476,226,654,0.346,346,466,0.742,273,1137,456,242,134,361,360,False
Central Michigan,31,14,17,0.452,-4.35,-2.65,7,11,8,6,6,10,2341,2237,1250,835,1807,0.462,198,610,0.325,473,655,0.722,331,1120,420,228,90,380,512,False
Charleston Southern,32,10,22,0.313,-10.82,-2.15,6,10,7,5,3,14,2307,2503,1295,769,1808,0.425,233,767,0.304,536,810,0.662,376,1187,367,151,88,433,558,False
Charlotte,33,11,22,0.333,-5.11,-0.3,3,15,8,8,1,12,2328,2460,1345,761,1808,0.421,231,745,0.31,575,768,0.749,291,1036,405,168,72,329,573,False
Chattanooga,33,24,9,0.727,0.98,-4.18,15,3,13,3,10,5,2602,2375,1335,919,1913,0.48,319,876,0.364,445,580,0.767,272,1095,556,225,98,340,530,False
Chicago State,32,4,28,0.125,-20.79,-4.64,4,12,3,7,1,19,2001,2518,1290,709,1858,0.382,232,759,0.306,351,498,0.705,273,981,344,235,114,412,607,False
Cincinnati,33,18,15,0.545,14.58,9.76,7,13,12,5,4,9,2328,2169,1320,888,1983,0.448,242,756,0.32,310,464,0.668,371,1138,452,242,145,338,459,False
Clemson,33,27,6,0.818,18.5,7.84,18,2,15,2,9,3,2519,2167,1350,909,1955,0.465,279,751,0.372,422,551,0.766,370,1166,475,247,119,345,502,True
Cleveland State,33,21,12,0.636,-1.88,-4.04,14,6,14,4,7,7,2403,2178,1325,880,1954,0.45,214,641,0.334,429,593,0.723,401,1131,459,288,156,389,590,False
