Year,Homeruns
1900.7215,254
1900.9955,455
1901.8019,354
1903.1458,335
1904.2753,331
1905.485,338
1906.0933,261
1907.0661,244
1908.4374,267
1909.1356,259
1910.2705,361
1910.5514,514
1912.0223,442
1913.7867,470
1913.8487,710
1915.3398,635
1916.1255,383
1916.9871,335
1918.5015,235
1919.2353,447
1919.5933,630
1921.1724,937
1922.1282,1055
1922.5924,980
1924.3365,896
1925.0724,1169
1926.0346,863
1926.9492,922
1928.1086,1093
1928.3384,1349
1930.3525,1565
1931.1355,1069
1931.9947,1358
1932.893,1067
1933.9541,1344
1934.7526,1325
1936.1153,1364
1937.0889,1430
1938.0024,1475
1939.068,1445
1939.8855,1571
1940.8541,1331
1941.9813,1071
1943.4759,905
1943.893,1034
1945.107,1007
1945.7986,1215
1946.7745,1565
1947.921,1555
1948.7518,1704
1950.3312,2073
1951.243,1863
1952.4204,1701
1953.1428,2076
1954.2293,1937
1955.1806,2224
1956.0409,2294
1957.3415,2202
1957.8738,2240
1958.4881,2250
1960.1182,2128
1961.3188,2730
1961.6962,3001
1962.9531,2704
1964.2215,2762
1965.2876,2688
1966.077,2743
1966.4883,2299
1968.0967,1995
1968.8311,3119
1970.023,3429
1971.2733,2863
1971.8535,2534
1972.3348,3102
1973.8869,2649
1975.0684,2698
1975.9396,2235
1977.4727,3644
1977.9029,2956
1978.9292,3433
1979.9076,3087
1981.0952,1781
1982.1536,3379
1983.04,3301
1984.192,3258
1984.9562,3602
1985.7715,3813
1986.5537,4458
1987.6423,3180
1989.0082,3083
1990.5778,3317
1991.0276,3383
1991.6556,3038
1992.6789,4030
1994.092,3306
1995.0498,4081
1995.6551,4962
1996.6893,4640
1998.0188,5064
1999.2271,5528
1999.8869,5693
2001.3425,5458
2001.7842,5059
2002.2546,5207
2004.2474,5451
2004.8098,5017
2006.0027,5386
2006.7998,4957
2008.1154,4878
2008.4504,5042
2010.4233,4613
2011.1898,4552
2011.8964,4934
2012.1646,4661
2013.9381,4186
2015.5689,4909
2016.1534,5610
2017.192,6105
2017.7916,5585
2019.1617,6776
